# 可換環論 / Commutative algebra
# reading	word	pos	flags
あるてぃんかん	アルティン環	noun
あるてぃんりーすのほだい	アルティン・リースの補題	noun
かんじゅんどうけい	環準同型	noun
かんぜんけいれつ	完全系列	noun
きょくしょか	局所化	noun-suru
きょくしょかん	局所環	noun
くるるじげん	クルル次元	noun
くるるのたんこういであるていり	クルルの単項イデアル定理	noun
こんき	根基	noun
こーえんまこーれーかん	コーエン・マコーレー環	noun
ごれんしゅたいんかん	ゴレンシュタイン環	noun
ざりすきいそう	ザリスキ位相	noun
しゃえいかぐん	射影加群	noun
じゆうかぐん	自由加群	noun
すぺくとらむ	スペクトラム	noun
せいかくだい	整拡大	noun
せいげんげん	生成元	noun
せいそくきょくしょかん	正則局所環	noun
せいへいせいいき	整閉整域	noun
そすぺくとる	素スペクトル	noun
たんかんぜんけいれつ	短完全系列	noun
ちょうかんぜんけいれつ	長完全系列	noun
でできんとせいいき	デデキント整域	noun
なかやまのほだい	中山の補題	noun
にゅうしゃかぐん	入射加群	noun
ねーたーかん	ネーター環	noun
ねーたーのせいきかほだい	ネーターの正規化補題	noun
ひるべるとのきていていり	ヒルベルトの基底定理	noun
ひるべるとのれいてんていり	ヒルベルトの零点定理	noun
ふちかん	付値環	noun
へいたんかぐん	平坦加群	noun
べきこんき	冪根基	noun
やこぶそんこんき	ヤコブソン根基	noun
ゆうげんせいかぐん	有限生成加群	noun
よじげん	余次元	noun
