# 整数論 / Number theory
# reading	word	pos	flags
あいぜんしゅたいんきゅうすう	アイゼンシュタイン級数	noun
あいぜんしゅたいんせいすう	アイゼンシュタイン整数	noun
あいぜんしゅたいんのきやくはんていほう	アイゼンシュタインの既約判定法	noun
いわさわりろん	岩澤理論	noun
いんすうぶんかい	因数分解	noun-suru
えらとすてねすのふるい	エラトステネスの篩	noun
おいらーかんすう	オイラー関数	noun
がうすせいすう	ガウス整数	noun
きすう	奇数	noun
きやくたこうしき	既約多項式	noun
きやくぶんすう	既約分数	noun
ぎゃくげん	逆元	noun
くろねっかーうぇーばーのていり	クロネッカー・ウェーバーの定理	noun
ぐうすう	偶数	noun
ごうどうしき	合同式	noun
ごーるどばっはよそう	ゴールドバッハ予想	noun
さいしょうこうばいすう	最小公倍数	noun
さいだいこうやくすう	最大公約数	noun
さとうていとよそう	佐藤・テイト予想	noun
じょうよるい	剰余類	noun
じょほうのげんり	除法の原理	noun
すうろん	数論	noun
せいすう	整数	noun
せるばーぐのふるい	セルバーグの篩	noun
ぜーたかんすう	ゼータ関数	noun
そいんすう	素因数	noun
そいんすうぶんかい	素因数分解	noun-suru
そすう	素数	noun
そすうていり	素数定理	noun
たがいにそ	互いに素	noun
たにやましむらよそう	谷山・志村予想	noun
だいすうたい	代数体	noun
だいすうてきせいすう	代数的整数	noun
ちぇびしぇふのていり	チェビシェフの定理	noun
ちゅうごくじょうよていり	中国剰余定理	noun
でぃりくれきゅうすう	ディリクレ級数	noun
でぃりくれしひょう	ディリクレ指標	noun
でぃりくれのさんじゅつきゅうすうていり	ディリクレの算術級数定理	noun
ばいすう	倍数	noun
ふぇるまーのさいしゅうていり	フェルマーの最終定理	noun
ふぇるまーのしょうていり	フェルマーの小定理	noun
ふていほうていしき	不定方程式	noun
へいほうじょうよ	平方剰余	noun
べいゆよそう	ヴェイユ予想	noun
ぺるほうていしき	ペル方程式	noun
ほう	法	noun	common
みんこふすきーのていり	ミンコフスキーの定理	noun
むりすう	無理数	noun
めびうすかんすう	メビウス関数	noun
めびうすのはんてんこうしき	メビウスの反転公式	noun
めるせんぬそすう	メルセンヌ素数	noun
やくすう	約数	noun
やこびきごう	ヤコビ記号	noun
ゆうりすう	有理数	noun
ゆーくりっどのごじょほう	ユークリッドの互除法	noun
らんぐらんずぷろぐらむ	ラングランズ・プログラム	noun
りーまんぜーたかんすう	リーマンゼータ関数	noun
りーまんよそう	リーマン予想	noun
るじゃんどるきごう	ルジャンドル記号	noun
れんぶんすう	連分数	noun
